ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,,
EF0409BC,EF04BC,นมข้นหวาน (สิ่งของ),Sweetened condensed milk (in-kind),,
EF0410A,EF04A,นมผง (ตัวเงิน),Milk powder (cash),,
EF0410BC,EF04BC,นมผง (สิ่งของ),Milk powder (in-kind),,
EF0411A,EF04A,ครีมเทียม (ตัวเงิน),Non - diary cream (cash),,
EF0411BC,EF04BC,ครีมเทียม (สิ่งของ),Non - diary cream (in-kind),,
EF0412A,EF04A,เครื่องดื่ม/ผลิตภัณฑ์อื่น ๆ ที่ทำจากนม (ระบุ) (ตัวเงิน),Other products made from milk (specify) (cash),,
EF0412BC,EF04BC,เครื่องดื่ม/ผลิตภัณฑ์อื่น ๆ ที่ทำจากนม (ระบุ) (สิ่งของ),Other products made from milk (specify) (in-kind),,
EF05A,EF_5,5. น้ำมัน และ ไขมัน (ตัวเงิน),5. Oil and Fat (cash),,
EF05BC,EF_5,5. น้ำมัน และ ไขมัน (สิ่งของ),5. Oil and Fat (in-kind),,
EF0501A,EF05A,น้ำมันพืช (ตัวเงิน),Vegetable oil (cash),,
EF0501BC,EF05BC,น้ำมันพืช (สิ่งของ),Vegetable oil (in-kind),,
EF0502A,EF05A,น้ำมันสัตว์ (ตัวเงิน),Lard oil (cash),,
EF0502BC,EF05BC,น้ำมันสัตว์ (สิ่งของ),Lard oil (in-kind),,
EF0503A,EF05A,กะทิสำเร็จรูป (กล่อง/ขวด) (ตัวเงิน),Coconut milk (box/bottle) (cash),,
EF0503BC,EF05BC,กะทิสำเร็จรูป (กล่อง/ขวด) (สิ่งของ),Coconut milk (box/bottle) (in-kind),,
EF0504A,EF05A,มะพร้าวขูด/คั้นสด (ตัวเงิน),Scraped / freshly squeezed coconut (cash),,
EF0504BC,EF05BC,มะพร้าวขูด/คั้นสด (สิ่งของ),Scraped / freshly squeezed coconut (in-kind),,
